Title,Release Year,criticConsensus,Rank,Director
Toy Story 2,1999,"The rare sequel that arguably improves on its predecessor, Toy Story 2 uses inventive storytelling, gorgeous animation, and a talented cast to deliver another rich moviegoing experience for all ages.",1,"Ash Brannon, John Lasseter, Lee Unkrich"
Toy Story,1995,"Entertaining as it is innovative, Toy Story reinvigorated animation while heralding the arrival of Pixar as a family-friendly force to be reckoned with.",2,John Lasseter
Pinocchio,1940,"Ambitious, adventurous, and sometimes frightening, Pinocchio arguably represents the pinnacle of Disney's collected works -- it's beautifully crafted and emotionally resonant.",3,"Ben Sharpsteen, Hamilton Luske"
Finding Nemo,2003,"Breathtakingly lovely and grounded by the stellar efforts of a well-chosen cast, Finding Nemo adds another beautifully crafted gem to Pixar's crown.",4,Andrew Stanton
Inside Out,2015,"Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.",5,Pete Docter
Toy Story 3,2010,"Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",6,Lee Unkrich
Zootopia,2016,"The brilliantly well-rounded Zootopia offers a thoughtful, inclusive message that's as rich and timely as its sumptuously state-of-the-art animation -- all while remaining fast and funny enough to keep younger viewers entertained.",7,"Byron Howard, Rich Moore"
Hamilton,2020,"Look around, look around at how beautifully Hamilton shines beyond Broadway - and at how marvelously Thomas Kail captures the stage show's infectious energy.",8,Thomas Kail
Snow White and the Seven Dwarfs,1937,"With its involving story and characters, vibrant art, and memorable songs, Snow White and the Seven Dwarfs set the animation standard for decades to come.",9,David Hand
One Hundred and One Dalmatians,1961,"With plenty of pooches and a memorable villain (Cruella De Vil), this is one of Disney's most enduring, entertaining animated films.",10,"Wolfgang Reitherman, Hamilton S. Luske, Clyde Geronimi"
Dumbo,1941,"Dumbo packs plenty of story into its brief runtime, along with all the warm animation and wonderful music you'd expect from a Disney classic.",11,Ben Sharpsteen
Toy Story 4,2019,"Heartwarming, funny, and beautifully animated, Toy Story 4 manages the unlikely feat of extending -- and perhaps concluding -- a practically perfect animated saga.",12,Josh Cooley
Coco,2017,"Coco's rich visual pleasures are matched by a thoughtful narrative that takes a family-friendly -- and deeply affecting -- approach to questions of culture, family, life, and death.",13,Lee Unkrich
The Incredibles,2004,"Bringing loads of wit and tons of fun to the animated superhero genre, The Incredibles easily lives up to its name.",14,Brad Bird
The Princess Bride,1987,"A delightfully postmodern fairy tale, The Princess Bride is a deft, intelligent mix of swashbuckling, romance, and comedy that takes an age-old damsel-in-distress story and makes it fresh.",15,Rob Reiner
Big,1988,"Refreshingly sweet and undeniably funny, Big is a showcase for Tom Hanks, who dives into his role and infuses it with charm and surprising poignancy.",16,Penny Marshall
Who Framed Roger Rabbit,1988,"Who Framed Roger Rabbit is an innovative and entertaining film that features a groundbreaking mix of live action and animation, with a touching and original story to boot.",17,Robert Zemeckis
Black Panther,2018,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,18,Ryan Coogler
Ratatouille,2007,"Fast-paced and stunningly animated, Ratatouille adds another delightfully entertaining entry -- and a rather unlikely hero -- to the Pixar canon.",19,Brad Bird
"Monsters, Inc.",2001,"Clever, funny, and delightful to look at, Monsters, Inc. delivers another resounding example of how Pixar elevated the bar for modern all-ages animation.",20,Pete Docter
Mary Poppins,1964,"A lavish modern fairy tale celebrated for its amazing special effects, catchy songs, and Julie Andrews's legendary performance in the title role.",21,Robert Stevenson
Miracle on 34th Street,1947,"Irrefutable proof that gentle sentimentalism can be the chief ingredient in a wonderful film, Miracle on 34th Street delivers a warm holiday message without resorting to treacle.",22,George Seaton
Soul,2020,"A film as beautiful to contemplate as it is to behold, Soul proves Pixar's power to deliver outstanding all-ages entertainment remains undimmed.",23,Pete Docter
Moana,2016,"With a title character as three-dimensional as its lush animation and a story that adds fresh depth to Disney's time-tested formula, Moana is truly a family-friendly adventure for the ages.",24,"John Musker, Ron Clements"
WALL-E,2008,"Wall-E's stellar visuals testify once again to Pixar's ingenuity, while its charming star will captivate younger viewers -- and its timely story offers thought-provoking subtext.",25,Andrew Stanton
The Muppets,2011,"Clever, charming, and heartfelt, The Muppets is a welcome big screen return for Jim Henson's lovable creations that will both win new fans and delight longtime devotees.",26,James Bobin
The Straight Story,1999,"With strong performances and director David Lynch at the helm, The Straight Story steers past sentimental byways on its ambling journey across the American heartland.",27,David Lynch
The Nightmare Before Christmas,1993,The Nightmare Before Christmas is a stunningly original and visually delightful work of stop-motion animation.,28,Henry Selick
Aladdin,1992,"A highly entertaining entry in Disney's renaissance era,"" Aladdin is beautifully drawn, with near-classic songs and a cast of scene-stealing characters.",29,"Ron Clements, John Musker"
Fantasia,1940,"A landmark in animation (and a huge influence on the medium of music video), Disney's Fantasia is a relentlessly inventive blend of the classics with phantasmagorical images.",30,"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson"
Avengers: Endgame,2019,"Exciting, entertaining, and emotionally impactful, Avengers",31,"Anthony Russo, Joe Russo"
Finding Dory,2016,"Funny, poignant, and thought-provoking, Finding Dory delivers a beautifully animated adventure that adds another entertaining chapter to its predecessor's classic story.",32,Andrew Stanton
Raya and the Last Dragon,2021,"Another gorgeously animated, skillfully voiced entry in the Disney canon, Raya and the Last Dragon continues the studio's increased representation while reaffirming that its classic formula is just as reliable as ever.",33,"Don Hall, Carlos López Estrada"
Iron Man,2008,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",34,Jon Favreau
Queen of Katwe,2016,"Queen of Katwe is a feel-good movie of uncommon smarts and passion, and outstanding performances by Lupita Nyong'o and David Oyelowo help to elevate the film past its cliches.",35,Mira Nair
Beauty and the Beast,1991,"Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers, Beauty and the Beast is one of Disney's most elegant animated offerings.",36,"Gary Trousdale, Kirk Wise"
